town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,ふじい内科クリニック,医療法人社団橘会 新生病院,のだ医院,まつながファミリークリニック,小林医院,むらせファミリークリニック,野原クリニック,大久保医院,小森内科クリニック,黒川胃腸科外科クリニック,たしろクリニック,クリニック ラポール,谷汲中央診療所,国枝医院,揖斐川町春日診療所,今村医院,ゆり形成内科整形おおの,高田医院,おおのクリニック,クリニックIB(アイビー),いび漢方クリニック,下野内科,神田外科医院,田中医院,揖斐川町久瀬診療所,岐阜県厚生農業協同組合連合会 岐阜・西濃医療センター 揖斐厚生病院
揖斐川町春日六合,揖斐川町,春日六合,21401039004,0.5337144477473301,136.48805668172713,35.472695297483924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日六合,揖斐川町,春日六合,21401039003,0.7376052898849553,136.49525599625775,35.47064339056909,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日香六,揖斐川町,春日香六,21401040000,2.038763733037252,136.46637040383843,35.473413704434584,265.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日六合,揖斐川町,春日六合,21401039006,2.1600841640468156,136.5002879832477,35.45132807870905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日六合,揖斐川町,春日六合,21401039007,2.2707499303026153,136.4825207071472,35.44794250611809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日小宮神,揖斐川町,春日小宮神,21401041000,2.3992901567519747,136.46137770846778,35.46687317516521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日六合,揖斐川町,春日六合,21401039002,2.4547114133889805,136.50006271148033,35.48760359143842,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日六合,揖斐川町,春日六合,21401039001,2.800123321359432,136.51793482978272,35.47368298370688,0.0,0.0,0.0,0.0,265.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町瑞岩寺,揖斐川町,瑞岩寺,21401024000,2.8638488407670746,136.5180905505467,35.460394246408256,266.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日六合,揖斐川町,春日六合,21401039005,3.0792625519696912,136.47749349589228,35.49427810933429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
