town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,くらもと胃腸科医院,たかはしファミリークリニック,八木医院,辻医院,社会医療法人高清会　高井病院,医療法人飯岡会　のぞみ診療所,いいおか医院,公益財団法人　天理よろづ相談所病院,医療法人宮城会宮城医院,クリニックせんざい,おおさかクリニック,宇陀市立病院,鹿子木診療所,医療法人厚生会奈良厚生会病院,原医院,みないち循環器内科・外科,医療法人吉生会吉井整形外科医院,奈良市立月ヶ瀬診療所,西村医院,医療法人社団岡田会山の辺病院,医療法人髙宮会 髙宮病院,鳥見眼科,吉川診療所,あさくらクリニック,牧浦内科,ニッタ（株）奈良工場診療所,医療法人　ふくしまクリニック,北村医院,医療法人智光会　城井内科医院,医療法人友永循環器医院,医療法人豊生会　加藤クリニック,医療法人　山本診療所,医療法人拓誠会辻村病院,医療法人谷口内科医院,医療法人新仁会奈良春日病院,よしこクリニック,奈良市都祁診療所,山内醫院,ささきクリニック,旧ひまわりクリニック,医療法人宣仁会白濱医院,グランソール奈良,医療法人　岩井メディカルクリニック,熊田内科クリニック,医療法人おのざき整形外科,塩田医院,社会医療法人畿内会　岡波総合病院,医療法人松山医院,奈良市立柳生診療所,医療法人萩乃里診療所,ますだ呼吸器科クリニック,寺西医院,宇陀市国民健康保険直営東里診療所,伊賀市立上野総合市民病院,社会福祉法人心境荘苑診療所,大浦内科クリニック,福井療院,社会福祉法人誠敬会ぬくもりクリニック田原本,奈良市立田原診療所,山添村国民健康保険波多野診療所
奈良市都祁甲岡町,奈良市,都祁甲岡町,29201872000,0.9752559333778714,135.95116651096103,34.596694907347405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁友田町,奈良市,都祁友田町,29201874000,1.0448703600684066,135.94629336334162,34.601565721542734,228.0,83.0,43.0,57.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,86.0,0.0,31.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁白石町,奈良市,都祁白石町,29201879000,1.113562390325713,135.96888100480712,34.600567051007886,1123.0,44.0,84.0,58.0,188.0,91.0,0.0,351.0,366.0,973.0,0.0,131.0,0.0,0.0,106.0,0.0,100.0,98.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,153.0,0.0,47.0,0.0,0.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,41.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市針町,奈良市,針町,29201880000,1.1448635527638669,135.95507036367522,34.61394244058754,444.0,285.0,205.0,88.0,536.0,71.0,187.0,131.0,0.0,0.0,0.0,211.0,25.0,55.0,132.0,27.0,149.0,336.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,26.0,60.0,0.0,0.0,0.0,0.0,106.0,24.0,53.0,65.0,23.0,691.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,67.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市来迎寺町,奈良市,来迎寺町,29201873000,1.5103116893792028,135.94745545261787,34.592968731376985,101.0,0.0,0.0,57.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁南之庄町,奈良市,都祁南之庄町,29201871000,1.5217077014950706,135.95580635941658,34.590198780425624,156.0,0.0,0.0,0.0,0.0,35.0,92.0,35.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,58.0,38.0,92.0,0.0,0.0,0.0,38.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,43.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生無山,宇陀市,室生無山,29212146002,2.290048000406161,135.9724602798557,34.587392559411384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市藺生町,奈良市,藺生町,29201875000,2.5959024063832357,135.9360901028437,34.58839514074579,309.0,232.0,0.0,0.0,0.0,37.0,44.0,143.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,270.0,183.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生無山,宇陀市,室生無山,29212146001,2.605410912741782,135.9785845938779,34.58819597858348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁相河町,奈良市,都祁相河町,29201877000,2.6145705288790744,135.95233279866628,34.580678678966585,116.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,49.0,0.0,23.0,0.0,94.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市針ケ別所町,奈良市,針ケ別所町,29201881000,2.792357320424879,135.9707343871827,34.62640034686961,210.0,348.0,66.0,0.0,119.0,0.0,0.0,117.0,0.0,0.0,76.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁小山戸町,奈良市,都祁小山戸町,29201876000,2.8763284491987227,135.9443732946615,34.58027365414098,0.0,0.0,0.0,0.0,63.0,108.0,0.0,44.0,0.0,0.0,0.0,451.0,0.0,43.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,53.0,0.0,0.0,192.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生染田,宇陀市,室生染田,29212148000,2.9361359250830565,135.98945544362547,34.60373755477789,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,233.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生多田,宇陀市,室生多田,29212147000,3.146883573442358,135.98969414696444,34.59416897825932,142.0,0.0,0.0,0.0,75.0,0.0,0.0,60.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0
奈良市小倉町,奈良市,小倉町,29201882000,3.1588951895921875,135.98694317254723,34.61848048087094,180.0,35.0,109.0,0.0,249.0,0.0,0.0,154.0,0.0,0.0,0.0,37.0,0.0,45.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁馬場町,奈良市,都祁馬場町,29201886000,3.358121750030051,135.9516646211462,34.63365509785889,63.0,0.0,43.0,25.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天理市山田町,天理市,山田町,29204076000,3.4270049087576293,135.93354837895947,34.62759962226652,664.0,71.0,68.0,126.0,430.0,0.0,0.0,184.0,37.0,61.0,0.0,0.0,28.0,0.0,34.0,104.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,0.0,0.0,0.0,66.0,24.0,0.0,35.0,0.0,38.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生向渕,宇陀市,室生向渕,29212134003,3.6368452898736106,135.98512619466044,34.58041654469258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁こぶしが丘,奈良市,都祁こぶしが丘,29201878200,3.6601867014555474,135.9683730709393,34.572175588175355,92.0,197.0,638.0,42.0,310.0,256.0,0.0,44.0,0.0,0.0,0.0,108.0,0.0,46.0,127.0,0.0,484.0,89.0,0.0,42.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,33.0,0.0,95.0,224.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁吐山町,奈良市,都祁吐山町,29201878100,3.683920235081354,135.96215332500202,34.570926830554136,74.0,139.0,116.0,33.0,178.0,275.0,52.0,165.0,69.0,0.0,0.0,231.0,0.0,53.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,100.0,0.0,52.0,0.0,0.0,0.0,34.0,118.0,0.0,212.0,86.0,0.0,87.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,18.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天理市福住町,天理市,福住町,29204075000,4.160254973455143,135.91237225679666,34.60909444472743,2284.0,350.0,603.0,418.0,829.0,49.0,61.0,176.0,909.0,99.0,0.0,0.0,91.0,307.0,950.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,43.0,49.0,264.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,41.0,97.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生小原,宇陀市,室生小原,29212149000,4.234069858308662,136.00304834505943,34.60988583858064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字小夫嵩方,桜井市,大字小夫嵩方,29206058000,4.345533987296962,135.93514755889692,34.56929160187323,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字小夫,桜井市,大字小夫,29206057000,4.40240629092381,135.91975103000374,34.57916154341367,0.0,19.0,0.0,17.0,37.0,327.0,16.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市荻町,奈良市,荻町,29201885000,4.5298203300924795,135.96531281623626,34.64403327211214,27.0,44.0,86.0,19.0,218.0,0.0,0.0,29.0,15.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,17.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生向渕,宇陀市,室生向渕,29212134004,4.584390464582676,135.98701066382407,34.57058826665413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字三谷,桜井市,大字三谷,29206053000,4.77460284987204,135.9251829470575,34.570038801740445,0.0,37.0,0.0,37.0,0.0,75.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市上深川町,奈良市,上深川町,29201883000,4.804088780361393,135.98746976199942,34.63922431539738,39.0,0.0,0.0,0.0,129.0,0.0,0.0,79.0,99.0,0.0,0.0,437.0,0.0,38.0,64.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
奈良市杣ノ川町,奈良市,杣ノ川町,29201820000,4.982330377661082,135.94333908301903,34.6471155780727,0.0,54.0,179.0,138.0,48.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
