town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小田原市立病院,医療法人 同愛会 小澤病院,山近記念クリニック,小田原市休日夜間急患診療所,久保クリニック,杏林堂クリニック,医療法人 高見澤クリニック,医療法人邦友会 湯河原循環器クリニック,鴨宮クリニック,医療法人尽誠会 山近記念総合病院,国際医療福祉大学熱海病院,独立行政法人地域医療機能推進機構 湯河原病院,医療法人社団 帰陽会 丹羽病院,湯河原胃腸病院,さかわ内科クリニック,森本内科医院,こまつクリニック,真鶴町国民健康保険診療所,城山クリニック,小田原銀座クリニック,しみず扇町クリニック,訪問診療めじろクリニック,本多記念青野クリニック,クリニック山田,漢和クリニック,小島クリニック,医療法人社団 福井内科消化器科クリニック,扇町しらさぎ内科クリニック,YKいわさきクリニック,おだわら泌尿器科・内科クリニック,菊地医院,古藤内科小児科クリニック,鴨宮さとう内科クリニック,清水内科クリニック,医療法人社団 雨宮内科医院,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,ひまわりメンタルクリニック,独立行政法人国立病院機構 箱根病院,五十子内科医院,医療法人社団 川_内科医院,河西クリニック,医療法人 武井内科医院,安間医院,窪倉医院,いがらし胃腸科内科クリニック,循環器中町クリニック,医療法人社団湘星会 小田原腎内科クリニック,医療法人 小林病院,湯河原ホームクリニック,医療法人社団ちとせ会 熱海ちとせ病院,医療法人山田クリニック,浜辺の診療所,あおぞらクリニック,西湘診療所,川邊小児科内科医院,小田原レディスクリニック,医療法人社団伊豆七海会 熱海所記念病院,朝倉医院,仁天堂医院,医療法人財団報徳会 西湘病院
真鶴町岩,真鶴町,岩,14383002000,0.17405757441757636,139.13643807708206,35.15764895886243,559.0,395.0,94.0,45.0,0.0,150.0,40.0,1175.0,38.0,76.0,1289.0,1240.0,45.0,523.0,0.0,42.0,273.0,4451.0,55.0,38.0,40.0,595.0,0.0,0.0,40.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,49.0,35.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1105.0,0.0,0.0
湯河原町福浦,湯河原町,福浦,14384008000,0.6272442929272602,139.1316694497097,35.15233842502327,224.0,397.0,0.0,0.0,0.0,57.0,0.0,626.0,59.0,0.0,620.0,1091.0,0.0,750.0,0.0,0.0,105.0,186.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,354.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0
真鶴町真鶴,真鶴町,真鶴,14383001000,1.0668855988871966,139.1430515565636,35.150867490140385,878.0,498.0,613.0,50.0,100.0,361.0,91.0,3627.0,66.0,376.0,2965.0,2146.0,0.0,1475.0,195.0,181.0,524.0,8772.0,97.0,53.0,263.0,243.0,0.0,64.0,0.0,0.0,48.0,64.0,1233.0,140.0,0.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,280.0,177.0,775.0,106.0,0.0,0.0,51.0,0.0,66.0,51.0,204.0,0.0,0.0,139.0,0.0,71.0,0.0,0.0,97.0,635.0,0.0,57.0
湯河原町吉浜,湯河原町,吉浜,14384007003,1.5096112229393868,139.11928366198885,35.15210248330608,183.0,634.0,341.0,0.0,52.0,42.0,0.0,1717.0,0.0,155.0,2484.0,2222.0,0.0,1785.0,0.0,48.0,1065.0,598.0,0.0,0.0,161.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,666.0,184.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,45.0
湯河原町中央四丁目,湯河原町,中央四丁目,14384012004,2.088544390145496,139.11256081365002,35.15199426746753,165.0,0.0,205.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,887.0,700.0,0.0,243.0,0.0,0.0,809.0,0.0,61.0,0.0,61.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央五丁目,湯河原町,中央五丁目,14384012005,2.129631508394164,139.11426121925268,35.14787748670982,189.0,75.0,0.0,0.0,25.0,0.0,26.0,466.0,0.0,0.0,427.0,1021.0,25.0,174.0,0.0,29.0,426.0,0.0,37.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,52.0,120.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,29.0
湯河原町中央三丁目,湯河原町,中央三丁目,14384012003,2.285068721576417,139.11080610804535,35.150696190025045,112.0,63.0,35.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,296.0,438.0,40.0,269.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央二丁目,湯河原町,中央二丁目,14384012002,2.405119373877127,139.11057810958386,35.148296841553076,0.0,0.0,0.0,0.0,64.0,0.0,0.0,57.0,68.0,0.0,385.0,1435.0,0.0,229.0,0.0,29.0,55.0,0.0,0.0,31.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,385.0,158.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
湯河原町中央一丁目,湯河原町,中央一丁目,14384012001,2.483481438823315,139.11097875571434,35.14616298890519,536.0,151.0,72.0,82.0,38.0,0.0,0.0,1318.0,0.0,0.0,232.0,835.0,0.0,573.0,0.0,0.0,541.0,190.0,74.0,0.0,33.0,630.0,77.0,0.0,0.0,0.0,0.0,0.0,544.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1364.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町門川,湯河原町,門川,14384005000,2.6060233934824772,139.1116458192017,35.14336345972499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
