town_name_show,dist_km,明星会医院,医療法人社団 沢医会 沢井診療所,医療法人社団 上長渕医会 井上医院,青梅整形外科内科,青梅市立総合病院,古里診療所,大河原森本医院,梅郷診療所,二俣尾診療所,医療法人社団 三秀会 青梅三慶病院
奥多摩町小丹波,0.0,248.0,866.0,350.0,0.0,43.0,2749.0,0.0,0.0,0.0,0.0
奥多摩町丹三郎,1.8482808333052039,357.0,1382.0,97.0,0.0,716.0,802.0,0.0,0.0,0.0,0.0
奥多摩町棚沢,1.8642321385018448,0.0,413.0,0.0,0.0,0.0,2180.0,0.0,0.0,119.0,0.0
奥多摩町川井,2.1899887930831743,110.0,529.0,0.0,0.0,374.0,453.0,0.0,0.0,0.0,0.0
奥多摩町白丸,2.498247046268212,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町梅沢,2.6572354811255456,0.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0
奥多摩町大丹波,2.958654872490016,0.0,153.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0
青梅市御岳本町,3.7748248919339926,0.0,402.0,0.0,44.0,47.0,0.0,0.0,0.0,0.0,0.0
奥多摩町海沢,3.9172972427919333,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市沢井三丁目,3.919862255778612,108.0,582.0,53.0,82.0,0.0,0.0,0.0,0.0,82.0,0.0
青梅市御岳二丁目,3.9965867271883995,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町氷川,4.08841035105424,0.0,0.0,330.0,0.0,0.0,107.0,0.0,0.0,0.0,115.0
青梅市御岳山,4.3141696332515265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町氷川,4.629705741319645,0.0,69.0,41.0,45.0,300.0,299.0,218.0,0.0,0.0,0.0
青梅市御岳一丁目,4.786428694066049,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0
青梅市成木七丁目,5.134927298987738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町氷川,5.140810938961072,82.0,351.0,235.0,78.0,51.0,0.0,0.0,0.0,0.0,0.0
奥多摩町氷川,5.215961681054196,0.0,0.0,69.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0
青梅市二俣尾五丁目,5.216905096462027,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0
青梅市沢井二丁目,5.245941359125619,263.0,776.0,0.0,93.0,316.0,0.0,0.0,0.0,0.0,0.0
青梅市沢井一丁目,5.303407626633332,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市柚木町三丁目,5.595294617863622,261.0,237.0,247.0,50.0,117.0,76.0,114.0,227.0,332.0,111.0
奥多摩町氷川,5.711033210953323,0.0,51.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0
青梅市柚木町二丁目,6.022591734539744,437.0,244.0,377.0,635.0,814.0,0.0,0.0,0.0,676.0,0.0
青梅市柚木町一丁目,6.547182777079867,348.0,58.0,343.0,75.0,257.0,125.0,0.0,246.0,499.0,0.0
奥多摩町境,6.554255525595283,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0
奥多摩町氷川,7.049828776048179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市二俣尾四丁目,7.093536458760845,0.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,292.0,0.0
檜原村神戸,7.193859850543947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市梅郷六丁目,7.208400006784835,484.0,490.0,648.0,373.0,579.0,0.0,179.0,1505.0,116.0,0.0
青梅市二俣尾三丁目,7.474848586694492,559.0,0.0,164.0,87.0,84.0,0.0,0.0,0.0,776.0,0.0
青梅市梅郷四丁目,7.476814297195584,0.0,0.0,393.0,51.0,143.0,0.0,97.0,51.0,0.0,0.0
青梅市成木八丁目,7.719847808591023,0.0,1269.0,75.0,113.0,75.0,0.0,0.0,0.0,0.0,0.0
青梅市成木六丁目,7.76231251929554,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
青梅市二俣尾二丁目,7.793476416784335,383.0,451.0,63.0,450.0,49.0,0.0,0.0,186.0,926.0,305.0
日の出町大字大久野肝要・松尾・三ツ沢,8.089972731105853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市梅郷一丁目,8.20645463918438,128.0,75.0,319.0,233.0,164.0,0.0,133.0,255.0,277.0,34.0
青梅市梅郷五丁目,8.231369338521842,609.0,1062.0,817.0,320.0,472.0,0.0,327.0,2347.0,126.0,43.0
青梅市梅郷二丁目,8.387209930975688,48.0,0.0,485.0,120.0,141.0,0.0,514.0,46.0,0.0,80.0
青梅市二俣尾一丁目,8.427067542804386,212.0,0.0,314.0,207.0,0.0,0.0,0.0,0.0,562.0,0.0
奥多摩町境,8.501317089282406,17.0,0.0,28.0,45.0,30.0,374.0,0.0,0.0,0.0,0.0
青梅市梅郷三丁目,8.530983542464194,0.0,105.0,282.0,124.0,911.0,0.0,0.0,494.0,92.0,0.0
青梅市和田町二丁目,8.932843501758056,245.0,0.0,437.0,324.0,241.0,0.0,126.0,133.0,0.0,0.0
青梅市日向和田三丁目,9.066849374572334,260.0,0.0,46.0,0.0,50.0,0.0,184.0,0.0,0.0,0.0
青梅市成木五丁目,9.088712613358686,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,63.0
青梅市日向和田二丁目,9.211086969004851,393.0,0.0,0.0,64.0,69.0,0.0,79.0,0.0,0.0,0.0
青梅市日向和田一丁目,9.576933409771954,430.0,196.0,121.0,215.0,31.0,0.0,99.0,87.0,0.0,292.0
奥多摩町河内,9.722862907836754,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
青梅市黒沢三丁目,9.792659162629079,467.0,0.0,128.0,51.0,50.0,0.0,54.0,0.0,0.0,0.0
日の出町大字大久野長井,9.886369311449819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市裏宿町,9.917563505882105,1318.0,0.0,139.0,964.0,652.0,0.0,788.0,0.0,0.0,457.0
青梅市和田町一丁目,9.955980658971354,0.0,0.0,630.0,44.0,0.0,0.0,64.0,143.0,0.0,0.0
青梅市畑中三丁目,10.137944766119153,233.0,0.0,454.0,594.0,137.0,0.0,361.0,195.0,0.0,0.0
青梅市畑中二丁目,10.164144256533165,174.0,0.0,400.0,275.0,424.0,0.0,177.0,81.0,197.0,697.0
青梅市成木四丁目,10.269730122516867,0.0,0.0,123.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0
青梅市畑中一丁目,10.456812599948329,86.0,0.0,946.0,318.0,84.0,0.0,290.0,79.0,0.0,189.0
青梅市天ヶ瀬町,10.48259501245203,1688.0,0.0,428.0,1430.0,328.0,75.0,1884.0,0.0,0.0,543.0
青梅市黒沢二丁目,10.511912436423398,51.0,193.0,124.0,41.0,196.0,0.0,80.0,0.0,0.0,626.0
青梅市森下町,10.513133499211628,948.0,0.0,48.0,539.0,266.0,0.0,865.0,0.0,0.0,37.0
青梅市大柳町,10.653811548972003,457.0,0.0,562.0,1326.0,529.0,0.0,570.0,0.0,0.0,1669.0
